category,text
sports,"भारतीय क्रिकेट टीमका पूर्व कप्तान सौरव गांगुली राजनीतिमा आउने चर्चा बेलाबेला हुने गर्छ । यतिबेला उनी पश्चिम बंगालकी मुख्यमन्त्री ममता बनर्जीसँग स्पेन भ्रमणमा छन् । स्पेनको म्याड्रिडमा आयोजित एक कार्यक्रममा पूर्व कप्तान गांगुलीले आफू स्टील उत्पादन क्षेत्रको व्यवसायमा लागेको खुलासा गरेका छन् । भारतीय सञ्चारमाध्यमका अनुसार उनले पश्चिम बंगालको मेदिनीपुरस्थित सालबोनीमा स्टील उद्योग स्थापना गरिरहेका छन् । तृणमूल कांग्रेसका प्रवक्ता कुणाल घोषले समेत यसबारे फेसबूक पेजमार्फत जानकारी दिएका छन् । उनी मुख्यमन्त्री बनर्जीसँगै १२ दिने स्पेन र दुबई भ्रमणमा छन् ।"
sports,"किरण राणाको कप्तानीमा नेपालले पाकिस्तानमा हुने भेट्रानको ग्लोबल कप क्रिकेट प्रतियोगितामा प्रतिस्पर्धा गर्ने भएको छ । पाकिस्तान भेट्रान्स क्रिकेट संघको आयोजनामा सेप्टेम्बर १८ देखि अक्टोबर २ सम्म कराँचीमा हुने प्रतियोगितामा ४० वर्षमाथिका खेलाडीले प्रतिस्पर्धा गर्नेछन् ।"
sports,"एभरेस्ट युनाइटेड क्लबले मेलबर्नमा नेपाली समुदायबीच फुटबल प्रतियोगिता सियरा कप आयोजना गर्ने भएको छ । यही सेप्टेम्बर २३ र २४ मा गरिने आयोजकले जनाएको छ ।"
sports,"कुशल मेन्डिसको ९१ तथा चारिथ असलन्काको ४९ नटआउट रनको मद्दतले श्रीलंकाले एसियाकप २०२३ मा बिहीबार पाकिस्तानलाई दुई विकेटले पराजित गर्दै फाइनल प्रवेश गरेको छ । उपाधिको भिडन्तमा श्रीलंकाको सामना भारतसँग हुनेछ ।"
sports,"आयोजक ग्रिनल्यान्डले १७ औं क्विक्स–ग्रिनल्यान्ड अन्तर विद्यालय बास्केटबल प्रतियोगितामा बिहीबार विजय पाएको छ । जुनियर ब्वाइजमा ग्रिनल्यान्डले भद्रकालीलाई २६–१६ ले पराजित गर्‍यो ।"
sports,"हेटौंडामा यहि असोज १६ गतेदेखि राष्ट्रिय भेट्रान्स कप फुटबल प्रतियोगिता हुने भएको छ। प्रतियोगिता हेटौँडा– ७ मा रहेको नागस्वती भेट्रान्स क्लबको आयोजनामा हुन लागेको हो। ‘स्वास्थ्यका लागि खेल’ भन्ने नाराका साथ आयोजना गर्न लागिएको दोस्रो संस्करणको राष्ट्रिय रनिङ शिल्ड एट ए साइड फुटबल प्रतियोगितामा देशभरका १८ देखि २० वटासम्म क्लबहरुको सहभागिता रहने आयोजक क्लबका अध्यक्ष सोमबहादुर तितुङले जानकारी दिए। ad प्रतियोगितामा देशभरका ४० वर्षमाथी उमेर समूहका खेलाडीहरुको सहभागिता रहने अध्यक्ष तितुङको भनाई छ। प्रतियोगिताको बिजेतालाई दुई लाख एक हजार र उपविजेतालाई एकलाख एक हजार नगद पुरस्कारसहित रनिङ शिल्ड प्रदान गरिने छ। यस्तै प्रतियोगितका विधागत उत्कृष्ट खेलाडीहरुलाई पनि पुरस्कार प्रदान गरिने अध्यक्ष तितुङले जानकारी दिए। उनले प्रतियोगिताका सर्वाधिक गोलकर्ता, फरवार्ड, गोलकिपर, डिफेन्स र टिम कोचलाई जनही पाँच÷पाँच हजार रुपैयाँ प्रदान गरिने बताए। हेटौँडा ७ मा रहेको नवज्योति माविको खेल मैदानमा हुने प्रतियोगिता सम्पन्न गर्न १६ लाख बढी खर्च लाग्ने अनुमान गरिएको अध्यक्ष तितुङले जानकारी दिए। यसअघि आयोजना गरिएको पहिलो संस्करणको प्रतियोगिताको उपाधि आयोजक नागस्वती भेट्रान्स आफैंले जितेको थियो।"
sports,"सहिद स्मारक लिग फुटबल खेल्ने क्रममा त्रिभुवन आर्मी क्लबका रक्षक विकास खवास नराम्ररी घाइते भए । उनको एसीएल गएको थियो । अहिले पनि विकासले बी एन्ड बी अस्पताल ग्वार्कोमा रिह्याब गराइरहेका छन् ।"
sports,"नेपाल बास्केटबल संघको आयोजनामा नेबा प्लस टु थ्री बाइ थ्री बास्केटबल प्रतियोगिता शुक्रबार सुरु हुनेछ । प्रतियोगितामा ४५ टिमको सहभागिता रहने बुधबार पत्रकार सम्मेलनमा संघका अध्यक्ष भीमसिंह गुरुङले बताए ।"
sports,"पाकिस्तानका तीव्र गतिका बलर नसिम शाहले विश्वकप क्रिकेट गुमाउने भएका छन् । दाहिने काँधमा लागेको चोट शुरुमा आशंका गरिएको भन्दा खराब रहेको पत्ता लागेपछि उनले विश्वकप गुमाउने भएको क्रिक इन्फोले जनाएको छ । विश्वकप आउँदो अक्टोबरको ५ तारिखदेखि भारतमा शुरु हुँदैछ । पाकिस्तान क्रिकेट बोर्ड पीसीबीले उनको विकल्प खोजिरहेको खबरमा उल्लेख छ । उनको चोटको अवस्था हेर्दा यो वर्षभरी मैदान फर्कन सक्ने सम्भावना छैन । एसिया कप क्रिकेटमा भारतसँगको खेलमा घाइते हुँदै नसिम बीचमै मैदानबाट फर्किएका थिए । विश्वकपमा नसिमको अनुपस्थिति पाकिस्तानको लागि झट्काका रुपमा हेरिएको छ । नसिमलाई करियरको शुरुवाती चरणमा चोटपटक लागेको थियो । नसिम सबै ढाँचामा पाकिस्तानका लागि महत्वपूर्ण बलर बनेका छन् । उनी आफ्नो एकदिवसीयमा डेब्यु गरेदेखि सबैभन्दा शक्तिशाली बलर हुन् ।"
sports,"नेपाल खेलकुद पत्रकार मञ्च (एनएसजेएफ) ले आफ्नो २८औं स्थापना दिवसको अवसरमा दुई पत्रकारलाई सम्मान गरेको छ । एनएसजेएफ अग्रज खेलकुद पत्रकारिता अवार्ड मुकुन्द बोगटी र सुमन भोम्जन युवा खेलकुद पत्रकारिता सम्मान रमेश सुवेदीलाई दिएको हो ।"
